,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
21285,prevaricate,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,False,True,0,0.0,0.750001,0.0,obscure
21598,fizzle,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,False,True,1,0.204281,0.476156,0.204281,complex
21620,backslide,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,False,True,1,0.0,0.540637,0.0,complex
21750,arise,['verb'],0,1088,3.03702787976,0.000918273645546,False,False,False,False,True,1,0.10844,0.414176,0.05422,complex
21935,eff,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,False,True,1,,,,monomorphemic
22170,moralize,['verb'],0,30,1.49136169383,0.0322580645161,False,False,False,False,True,1,0.247863,0.615386,0.247863,complex
22298,sightsee,['verb'],0,8,0.954242509439,0.111111111111,False,False,False,False,True,1,,,,complex
22372,relent,['verb'],0,26,1.43136376416,0.037037037037,False,False,False,False,True,0,0.064516,0.752688,0.064516,may_include_a_root
22490,retrogress,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,0.096773,0.612898,0.064515,may_include_a_root
22730,diverge,['verb'],0,37,1.57978359662,0.0263157894737,False,False,False,False,True,0,0.106996,0.432869,0.106996,may_include_a_root
23019,forgather,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,0,0.0,1.0,0.0,obscure
23316,preponderate,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,0.99998,0.0,0.99998,obscure
23358,participate,['verb'],0,386,2.58771096502,0.00258397932817,False,False,False,False,True,0,0.046676,0.328246,0.046666,obscure
23460,subside,['verb'],0,142,2.15533603747,0.00699300699301,False,False,False,False,True,0,0.413,0.410756,0.330915,obscure
23715,persevere,['verb'],0,60,1.78532983501,0.016393442623,False,False,False,False,True,0,0.145694,0.472468,0.116555,may_include_a_root
23799,sizzle,['verb'],0,42,1.63346845558,0.0232558139535,False,False,False,False,True,1,0.282561,0.391395,0.249716,monomorphemic
23931,intermix,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,False,True,1,0.446809,0.297872,0.12766,complex
23965,languish,['verb'],0,36,1.56820172407,0.027027027027,False,False,False,False,True,0,0.146031,0.38585,0.116825,may_include_a_root
24023,coincide,['verb'],0,189,2.27875360095,0.00526315789474,False,False,False,False,True,0,0.345124,0.202573,0.187567,obscure
24196,prevail,['verb'],0,205,2.31386722037,0.00485436893204,False,False,False,False,True,0,0.145495,0.544284,0.116396,obscure
24330,apologize,['verb'],0,323,2.51054501021,0.00308641975309,False,False,False,False,True,1,0.098289,0.289024,0.065526,complex
24373,migrate,['verb'],0,62,1.79934054945,0.015873015873,False,False,False,False,True,0,0.359469,0.196358,0.234746,obscure
24420,retch,['verb'],0,39,1.60205999133,0.025,False,False,False,False,True,1,0.104167,0.6875,0.0,monomorphemic
