word,category,type,rel_type,freq,Nfreq,Vfreq,lemmalogfreq,logNfreq,logVfreq,NVratio,Vcatfreq,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nplural,Nsing,Ncollect,Nuncollect,Nmorph,Categories,MorphStatus,NPrel,SCrel,Nonerel,NPOnlyrel,entropy,bareformlength,Sform,edform,bareform,Sformlength,edformlength
son,n,count,rel,3689,3689,0,3.567026366,3.567026366,0,3690,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,3,sons,soned,son,4,5
uncle,n,count,rel,1188,1188,0,3.075181855,3.075181855,0,1189,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,uncles,uncled,uncle,6,7
aunt,n,count,rel,608,608,0,2.784617293,2.784617293,0,609,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,aunts,aunted,aunt,5,6
boss,n,count,rel,527,481,46,2.722633923,2.683047038,1.672097858,10.25531915,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb', 'adjective']",monomorphemic,0.624426,0.038137,0.183954,0.417446,2.369606011,4,bosses,bossed,boss,5,6
colleague,n,count,rel,913,913,0,2.960946196,2.960946196,0,914,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,9,colleagues,colleagued,colleague,10,11
cousin,n,count,rel,575,575,0,2.760422483,2.760422483,0,576,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,cousins,cousined,cousin,7,8
niece,n,count,rel,95,95,0,1.982271233,1.982271233,0,96,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,nieces,nieced,niece,6,7
widow,n,count,rel,367,367,0,2.565847819,2.565847819,0,368,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,widows,widowed,widow,6,7
nephew,n,count,rel,161,161,0,2.209515015,2.209515015,0,162,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,nephews,nephewed,nephew,7,8
friend,n,count,rel,6386,6386,0,3.805296916,3.805296916,0,6387,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,friends,friended,friend,7,8
parent,n,count,rel,5679,5679,0,3.754348336,3.754348336,0,5680,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,parents,parented,parent,7,8
address,n,count,rel,1507,876,631,3.178401342,2.942999593,2.800717078,1.387658228,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb']",zero_derivation,0.906777,0,0.052437,0.589745,1.385991358,7,addresses,addressed,address,8,9
client,n,count,rel,455,455,0,2.658964843,2.658964843,0,456,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,clients,cliented,client,7,8
enemy,n,count,rel,1443,1443,0,3.159567193,3.159567193,0,1444,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,5,enemies,enemyed,enemy,6,7
height,n,count,rel,835,835,0,2.922206277,2.922206277,0,836,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,heights,heighted,height,7,8
age,n,count,rel,5357,5206,151,3.729002709,3.716587578,2.181843588,34.25657895,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb']",monomorphemic,0.202494,0,0.651877,0.170594,1.401017742,3,ages,aged,age,4,5
husband,n,count,rel,2776,2762,14,3.44357588,3.441380885,1.176091259,184.2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb']",monomorphemic,0.676724,0.081896,0.241379,0.603449,1.575279746,7,husbands,husbanded,husband,8,9
wife,n,count,rel,4442,4442,0,3.647676313,3.647676313,0,4443,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,wives,wived,wife,5,6
location,n,count,rel,412,412,0,2.615950052,2.615950052,0,413,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,8,locations,locationed,location,9,10
partner,n,count,rel,752,733,19,2.876794976,2.86569606,1.301029996,36.7,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"['noun', 'verb']",may_include_a_root,0.593056,0.025628,0.230082,0.461292,2.144968246,7,partners,partnered,partner,8,9
