,target,Categories,Nfreq,Vfreq,freq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
8034,footslog,['verb'],0,1,1,0.5,False,False,False,False,True,1,complex,norel
8083,clarify,['verb'],0,142,142,0.00699300699301,False,False,False,True,True,1,complex,norel
8151,have,['verb'],0,242066,242066,4.13108767407e-06,False,False,False,True,True,1,monomorphemic,norel
8167,rove,['verb'],0,45,45,0.0217391304348,False,False,False,True,True,1,monomorphemic,norel
8190,thicken,['verb'],0,116,116,0.00854700854701,False,False,False,True,True,1,complex,norel
8289,disport,['verb'],0,15,15,0.0625,False,False,False,True,True,0,may_include_a_root,norel
8423,refuel,['verb'],0,37,37,0.0263157894737,False,False,False,True,True,1,complex,norel
8431,ought,['verb'],0,1845,1845,0.000541711809317,False,False,False,False,True,1,monomorphemic,norel
8511,condense,['verb'],0,71,71,0.0138888888889,False,False,False,True,True,1,monomorphemic,norel
8629,conceive,['verb'],0,361,361,0.00276243093923,False,False,False,True,True,0,may_include_a_root,norel
8665,metamorphose,['verb'],0,19,19,0.05,False,False,False,True,True,1,monomorphemic,norel
8694,would,['verb'],0,18448,18448,5.42034798634e-05,False,False,False,False,True,1,monomorphemic,norel
8815,consolidate,['verb'],0,128,128,0.0077519379845,False,False,False,True,True,1,complex,norel
8902,begone,['verb'],0,2,2,0.333333333333,False,False,False,False,True,0,obscure,norel
8906,expostulate,['verb'],0,17,17,0.0555555555556,False,False,False,False,True,1,complex,norel
8940,foliate,['verb'],0,4,4,0.2,False,False,False,True,True,0,obscure,norel
9165,contradict,['verb'],0,131,131,0.00757575757576,False,False,False,True,True,0,obscure,norel
9217,blabber,['verb'],0,1,1,0.5,False,False,False,False,True,1,complex,norel
9303,liquidate,['verb'],0,37,37,0.0263157894737,False,False,False,True,True,0,obscure,norel
9319,fasten,['verb'],0,186,186,0.00534759358289,False,False,False,True,True,1,complex,norel
9323,rob,['verb'],0,262,262,0.00380228136882,False,False,False,True,True,1,monomorphemic,norel
9398,entertain,['verb'],0,258,258,0.003861003861,False,False,False,True,True,0,may_include_a_root,norel
9510,bate,['verb'],0,42,42,0.0232558139535,False,False,False,True,True,1,monomorphemic,norel
9538,stabilize,['verb'],0,81,81,0.0121951219512,False,False,False,True,True,1,complex,norel
9559,concur,['verb'],0,39,39,0.025,False,False,False,False,True,0,may_include_a_root,norel
9775,insist,['verb'],0,1393,1393,0.000717360114778,False,False,False,True,True,0,may_include_a_root,norel
9836,furl,['verb'],0,15,15,0.0625,False,False,False,True,True,1,monomorphemic,norel
9856,weep,['verb'],0,499,499,0.002,False,False,False,True,True,1,monomorphemic,norel
9962,reduce,['verb'],0,2127,2127,0.00046992481203,False,False,False,True,True,0,obscure,norel
9963,notate,['verb'],0,4,4,0.2,False,False,False,True,True,1,monomorphemic,norel
9965,rouse,['verb'],0,161,161,0.00617283950617,False,False,False,True,True,1,monomorphemic,norel
10002,proliferate,['verb'],0,49,49,0.02,False,False,False,False,True,1,complex,norel
10015,snivel,['verb'],0,24,24,0.04,False,False,False,False,True,1,monomorphemic,norel
10080,desegregate,['verb'],0,1,1,0.5,False,False,False,True,True,1,complex,norel
10083,intersect,['verb'],0,28,28,0.0344827586207,False,False,False,True,True,0,obscure,norel
