,target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
12834,suppurate,['verb'],0,12,12,0.0769230769231,False,False,True,0,obscure,norel
12837,agree,['verb'],0,3424,3424,0.00029197080292,False,True,True,1,monomorphemic,norel
12947,totalize,['verb'],0,1,1,0.5,False,True,True,1,complex,norel
12981,skyrocket,['verb'],0,7,7,0.125,False,False,True,1,complex,norel
13040,accept,['verb'],0,3712,3712,0.000269323996768,False,True,True,0,may_include_a_root,norel
13060,cling,['verb'],0,489,489,0.00204081632653,False,False,True,1,monomorphemic,norel
13104,coarsen,['verb'],0,16,16,0.0588235294118,False,True,True,1,complex,norel
13112,propose,['verb'],0,1132,1132,0.000882612533098,False,True,True,1,complex,norel
13215,consult,['verb'],0,562,562,0.00177619893428,False,True,True,0,may_include_a_root,norel
13269,covet,['verb'],0,41,41,0.0238095238095,False,True,True,1,monomorphemic,norel
13323,sew,['verb'],0,201,201,0.0049504950495,False,True,True,1,monomorphemic,norel
13336,electioneer,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
13427,vanish,['verb'],0,729,729,0.0013698630137,False,False,True,0,may_include_a_root,norel
13440,teeter,['verb'],0,47,47,0.0208333333333,False,False,True,1,monomorphemic,norel
13503,constipate,['verb'],0,1,1,0.5,False,True,True,0,obscure,norel
13531,be,['verb'],0,687085,687085,1.45542188314e-06,False,False,True,1,monomorphemic,norel
13561,blench,['verb'],0,9,9,0.1,False,False,True,1,monomorphemic,norel
13569,chide,['verb'],0,34,34,0.0285714285714,False,False,True,1,monomorphemic,norel
13657,resonate,['verb'],0,21,21,0.0454545454545,False,False,True,0,obscure,norel
13663,send,['verb'],0,4822,4822,0.000207339829981,True,True,True,1,monomorphemic,norel
13742,mortify,['verb'],0,22,22,0.0434782608696,False,True,True,0,obscure,norel
13814,lactate,['verb'],0,7,7,0.125,False,False,True,0,obscure,norel
13832,comply,['verb'],0,112,112,0.00884955752212,False,False,True,0,may_include_a_root,norel
13844,merge,['verb'],0,212,212,0.00469483568075,False,True,True,1,monomorphemic,norel
