,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
856,litre,['noun'],205,0,2.31386722037,206.0,True,False,False,False,False,1,,,,monomorphemic
867,meddler,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
878,pulley,['noun'],26,0,1.43136376416,27.0,True,False,False,False,False,0,,,,obscure
883,pullet,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,monomorphemic
885,quadrant,['noun'],14,0,1.17609125906,15.0,True,False,False,False,False,0,,,,obscure
887,sandbox,['noun'],12,0,1.11394335231,13.0,True,False,False,False,False,1,,,,complex
888,mango,['noun'],26,0,1.43136376416,27.0,True,False,False,False,False,1,,,,monomorphemic
893,angle-iron,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
897,phonecall,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,complex
898,kike,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,monomorphemic
902,firebrick,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
903,overlord,['noun'],30,0,1.49136169383,31.0,True,False,False,False,False,1,,,,complex
912,milker,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,2,,,,complex
913,apron,['noun'],164,0,2.21748394421,165.0,True,False,False,False,False,1,,,,monomorphemic
929,frontage,['noun'],25,0,1.41497334797,26.0,True,False,False,False,False,2,,,,complex
936,fisherman,['noun'],170,0,2.23299611039,171.0,True,False,False,False,False,1,,,,complex
937,cadence,['noun'],23,0,1.38021124171,24.0,True,False,False,False,False,0,,,,obscure
941,quartet,['noun'],67,0,1.83250891271,68.0,True,False,False,False,False,0,,,,obscure
942,palfrey,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,0,,,,may_include_a_root
954,internee,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
958,trauma,['noun'],62,0,1.79934054945,63.0,True,False,False,False,False,1,,,,monomorphemic
959,ptarmigan,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,monomorphemic
962,hairdresser,['noun'],76,0,1.88649072517,77.0,True,False,False,False,False,2,,,,complex
966,grandma,['noun'],90,0,1.95904139232,91.0,True,False,False,False,False,1,,,,complex
995,over-indulgence,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,2,,,,complex
996,troglodyte,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,monomorphemic
1006,crossroads,['noun'],12,0,1.11394335231,13.0,True,False,False,False,False,1,,,,zero_derivation
1020,turner,['noun'],162,0,2.2121876044,163.0,True,False,False,False,False,1,,,,complex
1021,borough,['noun'],142,0,2.15533603747,143.0,True,False,False,False,False,1,,,,monomorphemic
1023,diplomatist,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,0,,,,obscure
1026,washbasin,['noun'],56,0,1.75587485567,57.0,True,False,False,False,False,1,,,,complex
1027,dog-biscuit,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
1028,zoo,['noun'],173,0,2.24054924828,174.0,True,False,False,False,False,1,,,,monomorphemic
1033,pimple,['noun'],57,0,1.76342799356,58.0,True,False,False,False,False,1,,,,monomorphemic
1037,printer,['noun'],135,0,2.13353890837,136.0,True,False,False,False,False,1,,,,complex
1038,bordello,['noun'],10,0,1.04139268516,11.0,True,False,False,False,False,1,,,,monomorphemic
1062,chiseller,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,2,,,,complex
1080,walkabout,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,1,,,,complex
1084,hearing-aid,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
1096,wormhole,['noun'],24,0,1.39794000867,25.0,True,False,False,False,False,1,,,,complex
1110,vendee,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1113,sighting,['noun'],10,0,1.04139268516,11.0,True,False,False,False,False,1,,,,zero_derivation
1114,bibliophile,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1119,palimpsest,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,monomorphemic
1126,circumference,['noun'],35,0,1.55630250077,36.0,True,False,False,False,False,0,,,,obscure
1129,charcoal-burner,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,2,,,,complex
1130,millionaire,['noun'],140,0,2.14921911266,141.0,True,False,False,False,False,1,,,,complex
1131,paring,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,zero_derivation
1134,flipper,['noun'],13,0,1.14612803568,14.0,True,False,False,False,False,1,,,,complex
